Parte;CapituloNumero;ParteCapitulo;Capitulo;Total caracteres;Total palabras;Longitud media frases;Palabras lexicas;Palabras funcionales;Densidad lexica;Indice legilibilidad F.H.;"Frecuencia ""Quijote""";"Frecuencia ""Sancho""";GrupoQS0-QSN;Ranking-LongMediaFrases;Ranking-IndLeg;Qnn+Snn<=3
1;17;1-C17;1-C17-q22s33.txt;17336;3175;48,91;1385;1502;0,44;45,06;22;33;QnnSnn;104;23;
1;19;1-C19;1-C19-q26s28.txt;15383;2760;59,71;1159;1314;0,42;34,18;26;28;QnnSnn;37;90;
1;15;1-C15;1-C15-q23s30.txt;15249;2772;49,14;1209;1281;0,44;43,53;23;30;QnnSnn;101;35;
1;20;1-C20;1-C20-q39s53.txt;27737;5111;53,76;2213;2383;0,43;41,35;39;53;QnnSnn;67;51;
1;21;1-C21;1-C21-q24s36.txt;23530;4368;47,5;1917;2075;0,44;48,51;24;36;QnnSnn;107;9;
1;23;1-C23;1-C23-q29s30.txt;21917;3984;53,74;1694;1897;0,43;38,98;29;30;QnnSnn;69;63;
1;25;1-C25;1-C25-q32s53.txt;34076;6293;48,04;2669;2942;0,42;47,24;32;53;QnnSnn;105;13;
1;24;1-C24;1-C24-q14s05.txt;18802;3413;59,13;1483;1665;0,43;32,66;14;5;QnnSnn;40;100;
1;22;1-C22;1-C22-q38s13.txt;21819;3995;46,49;1737;1861;0,43;47;38;13;QnnSnn;111;14;
1;29;1-C29;1-C29-q30s14.txt;24817;4581;61,27;1948;2207;0,43;33,73;30;14;QnnSnn;30;93;
1;26;1-C26;1-C26-q15s26.txt;15774;2950;51,46;1203;1450;0,41;44,46;15;26;QnnSnn;85;29;
1;28;1-C28;1-C28-q01s00.txt;31425;5782;64,66;2513;2909;0,43;30,44;1;0;QnnSnn;13;112;1
1;30;1-C30;1-C30-q23s28.txt;19855;3642;51,93;1607;1687;0,44;42,3;23;28;QnnSnn;79;44;
1;27;1-C27;1-C27-q06s09.txt;34779;6340;55,65;2762;3134;0,44;37,49;6;9;QnnSnn;58;73;
1;31;1-C31;1-C31-q27s28.txt;18916;3519;43,46;1491;1698;0,42;50,79;27;28;QnnSnn;121;4;
1;32;1-C32;1-C32-q10s05.txt;13738;2490;52,75;1096;1168;0,44;40,71;10;5;QnnSnn;76;52;
1;33;1-C33;1-C33-q00s00.txt;40821;7553;62,67;3177;3728;0,42;31,36;0;0;Q00S00;22;107;0
1;34;1-C34;1-C34-q00s00.txt;39811;7265;52,94;3123;3488;0,43;38,1;0;0;Q00S00;73;68;0
1;36;1-C36;1-C36-q03s02.txt;20808;3781;64,04;1574;1857;0,42;30,25;3;2;QnnSnn;17;113;
1;35;1-C35;1-C35-q08s11.txt;17801;3336;51,33;1424;1610;0,43;43,59;8;11;QnnSnn;86;34;
1;39;1-C39;1-C39-q00s00.txt;17111;3129;60,05;1265;1547;0,4;33,46;0;0;Q00S00;35;94;0
1;38;1-C38;1-C38-q04s01.txt;8823;1617;61,03;693;824;0,43;32,48;4;1;QnnSnn;32;101;
1;37;1-C37;1-C37-q20s10.txt;21856;4003;58,22;1697;1944;0,42;36,51;20;10;QnnSnn;45;79;
1;40;1-C40;1-C40-q00s00.txt;25090;4631;58,7;1914;2359;0,41;36,63;0;0;Q00S00;43;78;0
1;41;1-C41;1-C41-q00s00.txt;42480;7743;63,66;3291;3902;0,43;31,65;0;0;Q00S00;18;106;0
1;43;1-C43;1-C43-q17s02.txt;19800;3640;58,15;1615;1744;0,44;37,49;17;2;QnnSnn;47;73;
1;42;1-C42;1-C42-q07s01.txt;15026;2754;49,6;1164;1370;0,42;42,44;7;1;QnnSnn;94;43;
